idx	id	difficulty	category	detail	question_en	question_ko
145	prompt-goal-1106	B	Goal Plan	Night Screen Limit	What do you want to improve about limiting screen time at night this year, and what steps will you take?	올해 밤에 화면 보는 시간을 줄이는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
146	prompt-goal-1107	B	Goal Plan	Photography Practice	What is one goal you have for practicing photography regularly this year, and how will you work toward it?	올해 사진 촬영을 꾸준히 연습하는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
147	prompt-goal-1108	B	Goal Plan	Meal Prep Habit	Describe one plan you have for preparing weekly meals in advance this year and explain how you will stay consistent.	올해 주간 식사를 미리 준비하는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
148	prompt-goal-1109	B	Goal Plan	Long Article Reading	What do you want to improve about reading one long article each week this year, and what steps will you take?	올해 매주 긴 글 한 편을 읽는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
149	prompt-goal-1110	B	Goal Plan	Stretching Habit	What is one goal you have for building a better stretching habit this year, and how will you work toward it?	올해 스트레칭 습관을 만드는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
150	prompt-goal-1111	B	Goal Plan	Note Taking System	Describe one plan you have for improving your note-taking system this year and explain how you will stay consistent.	올해 노트 정리 방식을 개선하는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
151	prompt-goal-1112	B	Goal Plan	On Time Housework	What do you want to improve about finishing household tasks on time this year, and what steps will you take?	올해 집안일을 제때 끝내는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
152	prompt-goal-1113	B	Goal Plan	Calmer Mornings	What is one goal you have for making your mornings calmer this year, and how will you work toward it?	올해 아침 시간을 더 차분하게 보내는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
153	prompt-goal-1114	B	Goal Plan	Clearer Questions	Describe one plan you have for asking clearer questions in class this year and explain how you will stay consistent.	올해 수업에서 더 분명하게 질문하는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
154	prompt-goal-1115	B	Goal Plan	Basic Design Skill	What do you want to improve about learning basic design skills this year, and what steps will you take?	올해 기초 디자인 감각을 익히는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
155	prompt-goal-1116	B	Goal Plan	Reduce Food Waste	What is one goal you have for reducing food waste at home this year, and how will you work toward it?	올해 집에서 음식 낭비를 줄이는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
156	prompt-goal-1117	B	Goal Plan	Weekly Review Habit	Describe one plan you have for building a habit of reviewing your week this year and explain how you will stay consistent.	올해 한 주를 돌아보는 습관을 만드는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
157	prompt-goal-1118	B	Goal Plan	Map Reading Skill	What do you want to improve about becoming better at map reading this year, and what steps will you take?	올해 지도를 더 잘 읽는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
158	prompt-goal-1119	B	Goal Plan	Weekend Reset Routine	What is one goal you have for building a weekend reset routine this year, and how will you work toward it?	올해 주말 리셋 루틴을 만드는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
159	prompt-goal-1120	B	Goal Plan	Simple Repair Skills	Describe one plan you have for learning simple repair skills this year and explain how you will stay consistent.	올해 간단한 수리 기술을 익히는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
160	prompt-goal-1121	B	Goal Plan	Clear Desk Habit	What do you want to improve about keeping your desk clear this year, and what steps will you take?	올해 책상을 늘 정돈된 상태로 유지하는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
161	prompt-goal-1122	B	Goal Plan	Remembering Names	What is one goal you have for remembering names more easily this year, and how will you work toward it?	올해 사람 이름을 더 잘 기억하는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
162	prompt-goal-1123	B	Goal Plan	Listening Patience	Describe one plan you have for improving your listening patience this year and explain how you will stay consistent.	올해 상대 말을 끝까지 듣는 습관을 기르는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
163	prompt-goal-1124	B	Goal Plan	Plant Care	What do you want to improve about taking better care of plants this year, and what steps will you take?	올해 식물을 더 잘 돌보는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
164	prompt-goal-1125	B	Goal Plan	Using Small Pockets of Time	What is one goal you have for making better use of small pockets of time this year, and how will you work toward it?	올해 짧은 자투리 시간을 더 잘 활용하는 것와 관련해 이루고 싶은 목표 한 가지와, 그것을 위해 어떻게 노력할지 설명해 주세요.
165	prompt-goal-1126	B	Goal Plan	Realistic To Do Lists	Describe one plan you have for planning more realistic to-do lists this year and explain how you will stay consistent.	올해 더 현실적인 할 일 목록을 세우는 것와 관련해 세운 계획 한 가지와, 어떻게 꾸준히 이어 갈지 설명해 주세요.
166	prompt-goal-1127	B	Goal Plan	Rest Without Guilt	What do you want to improve about learning to rest without guilt this year, and what steps will you take?	올해 죄책감 없이 쉬는 법을 배우는 것와 관련해 무엇을 더 잘하고 싶은지, 그리고 어떤 단계를 밟을지 말해 주세요.
167	prompt-problem-1101	B	Problem Solving	Noisy Places	What is one challenge you often face with dealing with noisy places, and how do you handle it?	시끄러운 환경을 견디는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
168	prompt-problem-1102	B	Problem Solving	Inbox Control	Describe a problem you sometimes have with keeping your inbox under control and explain what you do about it.	메일함을 정리하는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
169	prompt-problem-1103	B	Problem Solving	Asking When Confused	When asking questions when confused becomes difficult, what do you usually do to manage it?	헷갈릴 때 질문하는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
170	prompt-problem-1104	B	Problem Solving	Recovering After a Bad Day	What is one challenge you often face with recovering after a bad day, and how do you handle it?	기분이 좋지 않은 날 다시 회복하는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
171	prompt-problem-1105	B	Problem Solving	Choosing What Comes First	Describe a problem you sometimes have with choosing what to do first and explain what you do about it.	무엇부터 할지 정하는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
172	prompt-problem-1106	B	Problem Solving	Starting Small Tasks	When starting small tasks right away becomes difficult, what do you usually do to manage it?	작은 일을 바로 시작하는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
173	prompt-problem-1107	B	Problem Solving	Speaking While Nervous	What is one challenge you often face with speaking when you feel nervous, and how do you handle it?	긴장할 때 말하는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
174	prompt-problem-1108	B	Problem Solving	Commuting Delays	Describe a problem you sometimes have with handling commuting delays and explain what you do about it.	이동 지연에 대처하는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
175	prompt-problem-1109	B	Problem Solving	Too Many Open Tabs	When managing too many open tabs becomes difficult, what do you usually do to manage it?	열린 화면이 너무 많을 때 정리하는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
176	prompt-problem-1110	B	Problem Solving	Remembering Peoples Names	What is one challenge you often face with remembering people's names, and how do you handle it?	사람 이름을 기억하는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
177	prompt-problem-1111	B	Problem Solving	Staying Calm During Conflict	Describe a problem you sometimes have with staying calm during conflict and explain what you do about it.	갈등 상황에서 침착함을 유지하는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
178	prompt-problem-1112	B	Problem Solving	Minor Tech Issues	When fixing minor tech issues becomes difficult, what do you usually do to manage it?	사소한 기기 문제를 해결하는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
179	prompt-problem-1113	B	Problem Solving	Sharing Unfinished Work	What is one challenge you often face with sharing unfinished work early, and how do you handle it?	덜 끝난 작업을 먼저 공유하는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
180	prompt-problem-1114	B	Problem Solving	Sleepy Morning	Describe a problem you sometimes have with getting through a sleepy morning and explain what you do about it.	졸린 아침을 버티는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
181	prompt-problem-1115	B	Problem Solving	Overplanning the Weekend	When avoiding overplanning your weekend becomes difficult, what do you usually do to manage it?	주말 계획을 과하게 세우지 않는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
182	prompt-problem-1116	B	Problem Solving	Handling Slow Progress	What is one challenge you often face with handling slow progress, and how do you handle it?	진도가 느릴 때 버티는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
183	prompt-problem-1117	B	Problem Solving	Comparison With Others	Describe a problem you sometimes have with not comparing yourself to others and explain what you do about it.	남과 비교하지 않는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
184	prompt-problem-1118	B	Problem Solving	Balancing Hobbies and Chores	When balancing hobbies and chores becomes difficult, what do you usually do to manage it?	취미와 집안일의 균형을 잡는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
185	prompt-problem-1119	B	Problem Solving	Saying No Politely	What is one challenge you often face with saying no politely, and how do you handle it?	정중하게 거절하는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
186	prompt-problem-1120	B	Problem Solving	Restarting a Routine	Describe a problem you sometimes have with restarting after missing a routine and explain what you do about it.	루틴을 놓친 뒤 다시 시작하는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
187	prompt-problem-1121	B	Problem Solving	Reading Long Articles	When reading long articles without losing focus becomes difficult, what do you usually do to manage it?	긴 글을 끝까지 읽는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
188	prompt-problem-1122	B	Problem Solving	Keeping a Desk Organized	What is one challenge you often face with keeping your desk organized, and how do you handle it?	책상을 정리된 상태로 두는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
189	prompt-problem-1123	B	Problem Solving	Crowded Spaces	Describe a problem you sometimes have with dealing with crowded spaces and explain what you do about it.	붐비는 공간에서 지내는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
190	prompt-problem-1124	B	Problem Solving	Distracting Messages	When ignoring distracting messages becomes difficult, what do you usually do to manage it?	방해되는 메시지를 무시하는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
191	prompt-problem-1125	B	Problem Solving	Summarizing Ideas Clearly	What is one challenge you often face with summarizing your ideas clearly, and how do you handle it?	생각을 짧고 분명하게 정리하는 것 때문에 어려움을 느낄 때가 있다면, 보통 어떻게 해결하는지 설명해 주세요.
192	prompt-problem-1126	B	Problem Solving	Following Instructions	Describe a problem you sometimes have with following instructions the first time and explain what you do about it.	한 번에 지시를 제대로 이해하는 것 때문에 생기는 문제 한 가지를 설명하고, 어떻게 대처하는지 말해 주세요.
193	prompt-problem-1127	B	Problem Solving	Patience in Long Lines	When staying patient in slow lines becomes difficult, what do you usually do to manage it?	줄이 길 때 참는 것이(가) 특히 어렵게 느껴질 때, 보통 어떻게 관리하는지 설명해 주세요.
194	prompt-balance-1101	C	Balanced Opinion	Self Checkout Kiosks	What are the benefits and drawbacks of self-checkout kiosks, and what is your view?	무인 계산대의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
195	prompt-balance-1102	C	Balanced Opinion	Open Plan Offices	Do you think open-plan offices are more helpful or harmful overall? Explain both sides and give your opinion.	개방형 사무실이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
196	prompt-balance-1103	C	Balanced Opinion	Reusable Packaging Rules	What do you see as the strengths and weaknesses of reusable packaging rules, and which side seems stronger to you?	재사용 포장 규칙의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
197	prompt-balance-1104	C	Balanced Opinion	Subscription Services	What are the benefits and drawbacks of subscription services, and what is your view?	구독 서비스의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
198	prompt-balance-1105	C	Balanced Opinion	Online Petitions	Do you think online petitions are more helpful or harmful overall? Explain both sides and give your opinion.	온라인 청원이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
199	prompt-balance-1106	C	Balanced Opinion	Smart Home Devices	What do you see as the strengths and weaknesses of smart home devices, and which side seems stronger to you?	스마트 홈 기기의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
200	prompt-balance-1107	C	Balanced Opinion	School Rankings	What are the benefits and drawbacks of school rankings, and what is your view?	학교 순위 공개의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
201	prompt-balance-1108	C	Balanced Opinion	Cashless School Cafeterias	Do you think cashless school cafeterias are more helpful or harmful overall? Explain both sides and give your opinion.	현금 없는 학교 매점이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
202	prompt-balance-1109	C	Balanced Opinion	Pet Friendly Offices	What do you see as the strengths and weaknesses of pet-friendly offices, and which side seems stronger to you?	반려동물 동반 사무실의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
203	prompt-balance-1110	C	Balanced Opinion	Tourist Taxes	What are the benefits and drawbacks of tourist taxes, and what is your view?	관광세의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
204	prompt-balance-1111	C	Balanced Opinion	Digital Textbooks	Do you think digital textbooks are more helpful or harmful overall? Explain both sides and give your opinion.	디지털 교과서이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
205	prompt-balance-1112	C	Balanced Opinion	Neighborhood Security Cameras	What do you see as the strengths and weaknesses of neighborhood security cameras, and which side seems stronger to you?	동네 보안 카메라의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
206	prompt-balance-1113	C	Balanced Opinion	Food Expiration Labels	What are the benefits and drawbacks of food expiration labels, and what is your view?	식품 유통기한 표시 방식의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
207	prompt-balance-1114	C	Balanced Opinion	AI Customer Service	Do you think AI customer service is more helpful or harmful overall? Explain both sides and give your opinion.	AI 고객 응대이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
208	prompt-balance-1115	C	Balanced Opinion	Bicycle Sharing Systems	What do you see as the strengths and weaknesses of bicycle sharing systems, and which side seems stronger to you?	공유 자전거 시스템의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
209	prompt-balance-1116	C	Balanced Opinion	Coworking Spaces	What are the benefits and drawbacks of coworking spaces, and what is your view?	코워킹 스페이스의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
210	prompt-balance-1117	C	Balanced Opinion	Four Day Workweeks	Do you think four-day workweeks are more helpful or harmful overall? Explain both sides and give your opinion.	주 4일 근무제이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
211	prompt-balance-1118	C	Balanced Opinion	Location Sharing Among Friends	What do you see as the strengths and weaknesses of location sharing among friends, and which side seems stronger to you?	친구 사이 위치 공유의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
212	prompt-balance-1119	C	Balanced Opinion	Electric Scooters in Cities	What are the benefits and drawbacks of electric scooters in cities, and what is your view?	도심 전동 킥보드의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
213	prompt-balance-1120	C	Balanced Opinion	Live Stream Shopping	Do you think live-stream shopping is more helpful or harmful overall? Explain both sides and give your opinion.	라이브 커머스이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
214	prompt-balance-1121	C	Balanced Opinion	Reusable Cup Deposit Programs	What do you see as the strengths and weaknesses of reusable cup deposit programs, and which side seems stronger to you?	다회용 컵 보증금 제도의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
215	prompt-balance-1122	C	Balanced Opinion	Translation Apps for Travel	What are the benefits and drawbacks of translation apps for travel, and what is your view?	여행용 번역 앱의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
216	prompt-balance-1123	C	Balanced Opinion	Meal Kit Services	Do you think meal kit services are more helpful or harmful overall? Explain both sides and give your opinion.	밀키트 서비스이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
217	prompt-balance-1124	C	Balanced Opinion	Personal Data Rewards Programs	What do you see as the strengths and weaknesses of personal data rewards programs, and which side seems stronger to you?	개인정보 보상 프로그램의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
218	prompt-balance-1125	C	Balanced Opinion	Automated Attendance Systems	What are the benefits and drawbacks of automated attendance systems, and what is your view?	자동 출결 시스템의 장점과 단점을 말하고, 당신의 생각을 설명해 주세요.
219	prompt-balance-1126	C	Balanced Opinion	Office Hot Desking	Do you think office hot-desking is more helpful or harmful overall? Explain both sides and give your opinion.	고정 좌석 없는 사무실이(가) 대체로 도움이 된다고 생각하는지, 아니면 해가 된다고 생각하는지 양쪽 입장을 함께 설명해 주세요.
220	prompt-balance-1127	C	Balanced Opinion	Second Screen Viewing Habits	What do you see as the strengths and weaknesses of second-screen viewing habits, and which side seems stronger to you?	영상을 보며 다른 화면을 함께 쓰는 습관의 강점과 약점을 어떻게 보는지, 그리고 어느 쪽이 더 크다고 느끼는지 말해 주세요.
221	prompt-opinion-1101	C	Opinion Reason	Neighborhood Parks	What role should neighborhood parks play in modern society?	현대 사회에서 동네 공원에 기대하는 역할은 무엇인지 말해 주세요.
222	prompt-opinion-1102	C	Opinion Reason	Public Museums	What responsibilities should public museums have in the community today?	오늘날 지역사회에서 공공 박물관이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
223	prompt-opinion-1103	C	Opinion Reason	Local Bookstores	In your opinion, what should local bookstores do for people in modern society?	현대 사회에서 동네 서점이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
224	prompt-opinion-1104	C	Opinion Reason	Universities	What role should universities play in modern society?	현대 사회에서 대학교에 기대하는 역할은 무엇인지 말해 주세요.
225	prompt-opinion-1105	C	Opinion Reason	Local News Outlets	What responsibilities should local news outlets have in the community today?	오늘날 지역사회에서 지역 뉴스 매체이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
226	prompt-opinion-1106	C	Opinion Reason	Convenience Stores	In your opinion, what should convenience stores do for people in modern society?	현대 사회에서 편의점이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
227	prompt-opinion-1107	C	Opinion Reason	Sports Clubs for Teenagers	What role should sports clubs for teenagers play in modern society?	현대 사회에서 청소년 스포츠 클럽에 기대하는 역할은 무엇인지 말해 주세요.
228	prompt-opinion-1108	C	Opinion Reason	Public Health Campaigns	What responsibilities should public health campaigns have in the community today?	오늘날 지역사회에서 공공 보건 캠페인이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
229	prompt-opinion-1109	C	Opinion Reason	Companies Using AI	In your opinion, what should companies using AI do for people in modern society?	현대 사회에서 AI를 활용하는 기업이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
230	prompt-opinion-1110	C	Opinion Reason	Animal Shelters	What role should animal shelters play in modern society?	현대 사회에서 동물 보호소에 기대하는 역할은 무엇인지 말해 주세요.
231	prompt-opinion-1111	C	Opinion Reason	Public Broadcasters	What responsibilities should public broadcasters have in the community today?	오늘날 지역사회에서 공영 방송이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
232	prompt-opinion-1112	C	Opinion Reason	Community Centers	In your opinion, what should community centers do for people in modern society?	현대 사회에서 주민 센터이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
233	prompt-opinion-1113	C	Opinion Reason	Local Farmers Markets	What role should local farmers' markets play in modern society?	현대 사회에서 지역 농산물 시장에 기대하는 역할은 무엇인지 말해 주세요.
234	prompt-opinion-1114	C	Opinion Reason	After School Programs	What responsibilities should after-school programs have in the community today?	오늘날 지역사회에서 방과 후 프로그램이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
235	prompt-opinion-1115	C	Opinion Reason	Train Stations	In your opinion, what should train stations do for people in modern society?	현대 사회에서 기차역이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
236	prompt-opinion-1116	C	Opinion Reason	City Bike Systems	What role should city bike systems play in modern society?	현대 사회에서 공공 자전거 시스템에 기대하는 역할은 무엇인지 말해 주세요.
237	prompt-opinion-1117	C	Opinion Reason	Employers Offering Internships	What responsibilities should employers offering internships have in the community today?	오늘날 지역사회에서 인턴십을 제공하는 기업이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
238	prompt-opinion-1118	C	Opinion Reason	Restaurants Reducing Food Waste	In your opinion, what should restaurants reducing food waste do for people in modern society?	현대 사회에서 음식물 쓰레기를 줄이려는 식당이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
239	prompt-opinion-1119	C	Opinion Reason	Schools Teaching Online Safety	What role should schools teaching online safety play in modern society?	현대 사회에서 온라인 안전을 가르치는 학교에 기대하는 역할은 무엇인지 말해 주세요.
240	prompt-opinion-1120	C	Opinion Reason	Heat Shelter Programs	What responsibilities should local governments running heat shelters have in the community today?	오늘날 지역사회에서 폭염 쉼터를 운영하는 지방자치단체이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
241	prompt-opinion-1121	C	Opinion Reason	Cultural Festivals	In your opinion, what should cultural festivals do for people in modern society?	현대 사회에서 문화 축제이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
242	prompt-opinion-1122	C	Opinion Reason	Volunteer Matching Platforms	What role should volunteer matching platforms play in modern society?	현대 사회에서 봉사활동 연결 플랫폼에 기대하는 역할은 무엇인지 말해 주세요.
243	prompt-opinion-1123	C	Opinion Reason	Apartment Recycling Rooms	What responsibilities should apartment recycling rooms have in the community today?	오늘날 지역사회에서 아파트 분리수거 공간이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
244	prompt-opinion-1124	C	Opinion Reason	Community Gardens	In your opinion, what should community gardens do for people in modern society?	현대 사회에서 공동체 정원이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
245	prompt-opinion-1125	C	Opinion Reason	Senior Centers	What role should senior centers play in modern society?	현대 사회에서 노인 복지관에 기대하는 역할은 무엇인지 말해 주세요.
246	prompt-opinion-1126	C	Opinion Reason	Public Swimming Pools	What responsibilities should public swimming pools have in the community today?	오늘날 지역사회에서 공공 수영장이(가) 가져야 할 책임은 무엇이라고 생각하는지 설명해 주세요.
247	prompt-opinion-1127	C	Opinion Reason	Neighborhood Clinics	In your opinion, what should neighborhood clinics do for people in modern society?	현대 사회에서 동네 의원이(가) 사람들을 위해 어떤 일을 해야 한다고 생각하는지 말해 주세요.
248	prompt-reflection-1101	C	Change Reflection	Competition	How has your view of competition changed over time, and why?	경쟁에 대한 생각이 시간이 지나며 어떻게 바뀌었는지, 그리고 그 이유를 설명해 주세요.
249	prompt-reflection-1102	C	Change Reflection	Taking Breaks	How has your understanding of taking breaks changed as you have grown, and what influenced that change?	살아오면서 쉬는 것에 대한 이해가 어떻게 달라졌는지, 그리고 무엇이 그 변화를 만들었는지 말해 주세요.
250	prompt-reflection-1103	C	Change Reflection	Living Alone	Tell me how your opinion of living alone has changed over time and explain why.	혼자 사는 것에 대한 생각이 예전과 어떻게 달라졌는지, 그리고 왜 바뀌었는지 이야기해 주세요.
251	prompt-reflection-1104	C	Change Reflection	Networking	How has your view of networking changed over time, and why?	인맥 만들기에 대한 생각이 시간이 지나며 어떻게 바뀌었는지, 그리고 그 이유를 설명해 주세요.
252	prompt-reflection-1105	C	Change Reflection	Small Talk	How has your understanding of small talk changed as you have grown, and what influenced that change?	살아오면서 가벼운 대화에 대한 이해가 어떻게 달라졌는지, 그리고 무엇이 그 변화를 만들었는지 말해 주세요.
253	prompt-reflection-1106	C	Change Reflection	Asking for Help	Tell me how your opinion of asking for help has changed over time and explain why.	도움 요청에 대한 생각이 예전과 어떻게 달라졌는지, 그리고 왜 바뀌었는지 이야기해 주세요.
254	prompt-reflection-1107	C	Change Reflection	Productivity	How has your view of productivity changed over time, and why?	생산성에 대한 생각이 시간이 지나며 어떻게 바뀌었는지, 그리고 그 이유를 설명해 주세요.
255	prompt-reflection-1108	C	Change Reflection	Boredom	How has your understanding of boredom changed as you have grown, and what influenced that change?	살아오면서 지루함에 대한 이해가 어떻게 달라졌는지, 그리고 무엇이 그 변화를 만들었는지 말해 주세요.
256	prompt-reflection-1109	C	Change Reflection	Fashion	Tell me how your opinion of fashion has changed over time and explain why.	옷차림에 대한 생각이 예전과 어떻게 달라졌는지, 그리고 왜 바뀌었는지 이야기해 주세요.
257	prompt-reflection-1110	C	Change Reflection	Time Spent Alone	How has your view of time spent alone changed over time, and why?	혼자 보내는 시간에 대한 생각이 시간이 지나며 어떻게 바뀌었는지, 그리고 그 이유를 설명해 주세요.
258	prompt-reflection-1111	C	Change Reflection	Exercise	How has your understanding of exercise changed as you have grown, and what influenced that change?	살아오면서 운동에 대한 이해가 어떻게 달라졌는지, 그리고 무엇이 그 변화를 만들었는지 말해 주세요.
259	prompt-reflection-1112	C	Change Reflection	Online Classes	Tell me how your opinion of online classes has changed over time and explain why.	온라인 수업에 대한 생각이 예전과 어떻게 달라졌는지, 그리고 왜 바뀌었는지 이야기해 주세요.
260	prompt-reflection-1113	C	Change Reflection	Keeping a Diary	How has your view of keeping a diary changed over time, and why?	일기 쓰기에 대한 생각이 시간이 지나며 어떻게 바뀌었는지, 그리고 그 이유를 설명해 주세요.
261	prompt-reflection-1114	C	Change Reflection	Neighborhood Life	How has your understanding of neighborhood life changed as you have grown, and what influenced that change?	살아오면서 동네 생활에 대한 이해가 어떻게 달라졌는지, 그리고 무엇이 그 변화를 만들었는지 말해 주세요.
262	prompt-reflection-1115	C	Change Reflection	Routines	Tell me how your opinion of routines has changed over time and explain why.	루틴에 대한 생각이 예전과 어떻게 달라졌는지, 그리고 왜 바뀌었는지 이야기해 주세요.
